Date,Open,High,Low,Close,Volume,Adj Close
2006-09-28,133.740005,133.990005,133.279999,133.690002,58597500,110.945448
2006-09-27,133.490005,133.970001,133.270004,133.740005,82432200,110.986944
2006-09-26,132.50,133.600006,132.399994,133.580002,73962700,110.854162
2006-09-25,131.729996,132.850006,131.050003,132.479996,92299100,109.941298
2006-09-22,131.669998,131.679993,131.00,131.470001,65966800,109.103133
2006-09-21,132.610001,132.75,131.419998,131.869995,88932500,109.435077
2006-09-20,132.25,132.770004,132.059998,132.509995,75204100,109.966194
2006-09-19,132.119995,132.130005,131.070007,131.809998,92089100,109.385286
2006-09-18,131.789993,132.389999,131.649994,132.139999,64154100,109.659145
2006-09-15,132.309998,132.389999,131.679993,131.960007,76703100,109.509775
2006-09-14,131.960007,132.240005,131.75,132.229996,57805400,109.253334
2006-09-13,131.639999,132.449997,131.520004,132.220001,62898400,109.245076
2006-09-12,130.559998,131.839996,130.369995,131.690002,69875600,108.807171
2006-09-11,129.860001,130.690002,129.479996,130.410004,68496600,107.749589
2006-09-08,130.080002,130.460007,129.830002,130.279999,45096300,107.642174
2006-09-07,130.059998,130.570007,129.350006,129.910004,86269400,107.33647
2006-09-06,131.110001,131.160004,130.330002,130.509995,53795600,107.832205
2006-09-05,131.509995,131.850006,131.199997,131.669998,52348300,108.790643
2006-09-01,131.139999,131.580002,130.839996,131.419998,48794500,108.584084
2006-08-31,130.850006,130.990005,130.580002,130.639999,37510300,107.93962
2006-08-30,130.869995,131.039993,130.550003,130.660004,50052200,107.956148
2006-08-29,130.490005,130.830002,129.809998,130.580002,61817800,107.890048
2006-08-28,129.649994,130.820007,129.639999,130.429993,52681500,107.766104
2006-08-25,129.639999,130.25,129.550003,129.809998,41756000,107.253841
2006-08-24,129.990005,130.100006,129.399994,129.649994,57983000,107.12164
2006-08-23,130.179993,130.440002,129.190002,129.759995,66592100,107.212527
2006-08-22,129.990005,130.520004,129.679993,130.119995,60839900,107.509973
2006-08-21,130.179993,130.279999,129.800003,130.130005,42133600,107.518243
2006-08-18,130.190002,130.690002,129.589996,130.690002,58288400,107.980934
2006-08-17,129.580002,130.369995,129.490005,130.029999,70992800,107.435615
2006-08-16,129.320007,129.889999,129.039993,129.699997,71737600,107.162955
2006-08-15,128.25,128.869995,127.900002,128.630005,68143000,106.278888
2006-08-14,127.629997,128.160004,126.919998,127.110001,57839000,105.023004
2006-08-11,127.169998,127.199997,126.389999,127.010002,47482200,104.940381
2006-08-10,126.580002,127.50,126.279999,127.370003,69322300,105.237827
2006-08-09,128.179993,128.600006,126.610001,126.980003,78910600,104.915595
2006-08-08,128.089996,128.460007,126.949997,127.410004,90901300,105.270877
2006-08-07,127.900002,128.080002,127.400002,127.900002,45377300,105.675732
2006-08-04,129.080002,129.429993,127.480003,128.199997,96294200,105.923599
2006-08-03,127.339996,128.550003,127.150002,128.419998,63693800,106.105372
2006-08-02,127.580002,128.460007,127.550003,128.080002,64770900,105.824455
2006-08-01,127.339996,127.379997,126.599998,127.220001,65225600,105.11389
2006-07-31,127.660004,127.959999,127.449997,127.849998,49593100,105.634417
2006-07-28,127.040001,128.139999,126.860001,127.980003,82137000,105.741832
2006-07-27,127.379997,127.690002,126.199997,126.709999,87257100,104.692508
2006-07-26,126.589996,127.449997,126.18,126.830002,84525800,104.791658
2006-07-25,125.980003,127.300003,125.720001,126.660004,95480700,104.651199
2006-07-24,124.440002,126.32,124.440002,126.209999,92884000,104.279389
2006-07-21,125.150002,125.190002,123.82,123.949997,101560000,102.412091
2006-07-20,126.120003,126.300003,124.660004,124.830002,112259800,103.139184
2006-07-19,124.18,126.260002,123.720001,125.690002,133565300,103.849748
2006-07-18,123.709999,124.050003,122.389999,123.970001,122771000,102.42862
2006-07-17,123.519997,124.099998,123.150002,123.339996,81159000,101.908086
2006-07-14,124.129997,124.260002,122.830002,123.519997,103242500,102.056809
2006-07-13,125.449997,125.68,124.00,124.00,102405700,102.453406
2006-07-12,127.150002,127.400002,125.720001,126.050003,82561300,104.147194
2006-07-11,126.610001,127.410004,125.940002,127.410004,73640800,105.270877
