Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
7/15/2014,,-0.001874278,0.003148464,-0.00503211,-0.020622791,-0.073128751,-0.178975127,,0.001966663
7/14/2014,,0.005022742,0.006396985,-0.000455628,-0.022497069,-0.081866889,-0.184662789,,0.001465616
7/11/2014,,0.001374243,-0.002590581,0.008054532,-0.013413184,-0.084691675,-0.180057973,,-0.002634939
7/10/2014,,-0.003964824,0.000509403,0.009428775,-0.008556361,-0.074268042,-0.192212479,,0.000662328
7/9/2014,,0.004474227,-0.001976533,0.000557883,-0.012623462,-0.057003208,-0.196540573,,0.0108517
7/8/2014,,-0.00645076,-0.009938178,0.004017567,-0.009172339,-0.063222492,-0.199237934,,0.006990227
7/7/2014,,-0.003487418,0.001418649,-0.009104115,-0.015623099,-0.073787647,-0.211377259,,0.002887064
7/3/2014,,0.004906068,0.005920611,-0.014023167,-0.032403525,-0.054269472,-0.225595619,,-0.008121078
7/2/2014,,0.001014543,0.007685466,-0.008401026,-0.026978966,-0.04803894,-0.221123624,,-0.013078694
7/1/2014,,0.006670922,0.006160088,-0.011896099,-0.02710557,-0.050365445,-0.219179086,,-0.001625309
6/30/2014,,-0.000510835,0.001431633,0.000817179,-0.020434648,-0.05030333,-0.218350698,,0.004830298
6/27/2014,,0.001942468,0.001226395,0.000612595,-0.027715218,-0.058975225,-0.214755748,,0.010774703
6/26/2014,,-0.000716073,0.003793543,0.000526867,-0.025041495,-0.061950775,-0.218665999,,0.014460593
6/25/2014,,0.004509616,-0.00153274,-0.001309549,-0.031885315,-0.060556172,-0.229234319,,0.01108294
6/24/2014,,-0.006042355,-0.006348606,-0.00411282,-0.027375699,-0.048828275,-0.234293006,,0.014105667
6/23/2014,,-0.000306251,0.001721945,-0.012930718,-0.033418055,-0.059605155,-0.22761884,,0.003420717
6/20/2014,,0.002028196,0.00314854,-0.014060755,-0.040154187,-0.055767471,-0.23113015,,-0.001480804
6/19/2014,,0.001120344,0.00843323,-0.015076449,-0.04651513,-0.049853183,-0.204011564,,-0.005370735
6/18/2014,,0.007312886,0.010088429,-0.006851072,-0.039069844,-0.054555331,-0.188978005,,-0.004183212
6/17/2014,,0.002775542,0.003599329,0.003944394,-0.035419495,-0.041899408,-0.189539675,,-0.002775541
6/16/2014,,0.000823787,0.003867677,0.006617659,-0.032643952,-0.046236394,-0.194456064,,0.007752548
6/13/2014,,0.003043889,-0.004061143,0.006418342,-0.026463653,-0.054415598,-0.187339985,,0.01077268
6/12/2014,,-0.007105033,-0.010587613,0.00469087,-0.018670619,-0.04855974,-0.199390298,,0.010822011
6/11/2014,,-0.00348258,-0.003380303,-0.008915036,-0.026671044,-0.044388242,-0.198183719,,0.008897538
6/10/2014,,0.000102277,0.001125382,-0.014418389,-0.039842578,-0.048137854,-0.191297208,,-0.000359182
6/9/2014,,0.001023104,0.005794466,-0.013797621,-0.039740301,-0.043080676,-0.191194931,,-0.006780342
6/6/2014,,0.004771361,0.011272235,-0.013915664,-0.039142921,-0.0415263,-0.202812105,,-0.007501869
6/5/2014,,0.006500874,0.008521647,-0.010754468,-0.0402436,-0.037179981,-0.207053095,,-0.004886951
6/4/2014,,0.002020773,0.001502282,-0.009413164,-0.025000667,-0.032966731,-0.186452349,,0.006596252
6/3/2014,,-0.000518491,0.000622657,-0.006661137,-0.02489235,-0.031851819,-0.179613116,,0.012546273
6/2/2014,,0.001141148,0.002751312,-0.013307375,-0.025410842,-0.046328051,-0.18562283,,0.015009195
5/30/2014,,0.001610165,0.006769735,-0.012166227,-0.022941213,-0.038130026,-0.170025621,,0.01236178
5/29/2014,,0.00515957,0.004428315,-0.014556752,-0.024309288,-0.039045927,-0.172100709,,0.013848167
5/28/2014,,-0.000731255,0.005396493,-0.011826374,-0.023794282,-0.03912014,-0.160425656,,0.00825484
5/27/2014,,0.006127748,0.010128437,-0.020946768,-0.027687701,-0.039905544,-0.167127834,,0.00494804
5/23/2014,,0.004000689,0.006429882,-0.012156616,-0.015352388,-0.038930615,-0.160153557,,0.009843568
5/22/2014,,0.002429192,0.010818331,-0.011618487,-0.009007142,-0.033788552,-0.15325591,,0.012724387
5/21/2014,,0.008389139,0.002064197,-0.000370222,-0.01111217,-0.037243022,-0.143381442,,0.013858563
5/20/2014,,-0.006324942,-0.002662405,0.012768062,-0.006204245,-0.022210059,-0.13642903,,0.018071712
5/19/2014,,0.003662537,0.007125097,0.005547728,-0.012529186,-0.029729817,-0.142694012,,0.01269409
5/16/2014,,0.003462561,-0.005356512,-0.00047869,-0.010262516,-0.02606728,-0.148662016,,0.017795828
5/15/2014,,-0.008819073,-0.013568217,0.001493007,-0.017223234,-0.028108423,-0.140493005,,0.011927939
